#TYPE Selected.System.ServiceProcess.ServiceController
"ServiceName"
"AarSvc_54852"
"AxInstSV"
"AJRouter"
"AppReadiness"
"AppIDSvc"
"ALG"
"tzautoupdate"
"BITS"
"BEService"
"BcastDVRUserService_54852"
"BDESVC"
"wbengine"
"BTAGService"
"BluetoothUserService_54852"
"camsvc"
"CaptureService_54852"
"autotimesvc"
"CertPropSvc"
"ClipSVC"
"COMSysApp"
"Browser"
"ConsentUxUserSvc_54852"
"CorsairDeviceListerService"
"CredentialEnrollmentManagerUserSvc_54852"
"dcsvc"
"DoSvc"
"DeviceInstall"
"DmEnrollmentSvc"
"dmwappushservice"
"DsmSvc"
"DeviceAssociationBrokerSvc_54852"
"DevicePickerUserSvc_54852"
"DevicesFlowUserSvc_54852"
"DevQueryBroker"
"diagsvc"
"WdiSystemHost"
"MSDTC"
"MapsBroker"
"dbupdate"
"dbupdatem"
"EasyAntiCheat_EOS"
"EasyAntiCheat"
"embeddedmode"
"EFS"
"EntAppSvc"
"EpicOnlineServices"
"Eaphost"
"Fax"
"fhsvc"
"fdPHost"
"FDResPub"
"GoogleChromeElevationService"
"gupdate"
"gupdatem"
"GraphicsPerfSvc"
"HvHost"
"vmickvpexchange"
"vmicguestinterface"
"vmicshutdown"
"vmicheartbeat"
"vmicvmsession"
"vmicrdv"
"vmictimesync"
"vmicvss"
"Intel(R) Capability Licensing Service TCP IP Interface"
"Intel(R) SUR QC SAM"
"Intel(R) TPM Provisioning Service"
"SharedAccess"
"IpxlatCfgSvc"
"KtmRm"
"LxpSvc"
"lltdsvc"
"wlpasvc"
"McpManagementService"
"MessagingService_54852"
"diagnosticshub.standardcollector.service"
"wlidsvc"
"MicrosoftEdgeElevationService"
"edgeupdate"
"edgeupdatem"
"MSiSCSI"
"NgcSvc"
"NgcCtnrSvc"
"swprv"
"smphost"
"uhssvc"
"SmsRouter"
"mracsvc"
"NaturalAuthentication"
"NetTcpPortSharing"
"Netlogon"
"NcdAutoSetup"
"NcaSvc"
"NetSetupSvc"
"FvSvc"
"ssh-agent"
"defragsvc"
"OverwolfUpdater"
"WpcMonSvc"
"SEMgrSvc"
"PNRPsvc"
"p2psvc"
"p2pimsvc"
"PerfHost"
"pla"
"PhoneSvc"
"PNRPAutoReg"
"WPDBusEnum"
"PrintNotify"
"PrintWorkflowUserSvc_54852"
"wercplsupport"
"TroubleshootingSvc"
"RasAuto"
"SessionEnv"
"TermService"
"UmRdpService"
"RpcLocator"
"RemoteRegistry"
"RetailDemo"
"Rockstar Service"
"RemoteAccess"
"seclogon"
"SensorDataService"
"SensrSvc"
"SensorService"
"shpamsvc"
"SCardSvr"
"ScDeviceEnum"
"SCPolicySvc"
"SNMPTRAP"
"sppsvc"
"SharedRealitySvc"
"svsvc"
"WiaRpc"
"TieringEngineService"
"TapiSrv"
"UdkUserSvc_54852"
"upnphost"
"USER_ESRV_SVC_QUEENCREEK"
"vgc"
"vds"
"VBoxSDS"
"VSStandardCollectorService150"
"VSS"
"VacSvc"
"WalletService"
"WarpJITSvc"
"WebClient"
"WFDSConMgrSvc"
"SDRSVC"
"WbioSrvc"
"FrameServer"
"wcncsvc"
"WEPHOSTSVC"
"WerSvc"
"Wecsvc"
"wisvc"
"msiserver"
"WManSvc"
"WMPNetworkSvc"
"MixedRealityOpenXRSvc"
"icssvc"
"TrustedInstaller"
"spectrum"
"perceptionsimulation"
"FontCache3.0.0.0"
"PushToInstall"
"WinRM"
"W32Time"
"wuauserv"
"WaaSMedicSvc"
"dot3svc"
"wmiApSrv"
"workfolderssvc"
"WwanSvc"
"XboxGipSvc"
"XblAuthManager"
"XblGameSave"
"XboxNetApiSvc"
